
#separator:pipe
#html:true
Abolish | v. Put an end to (esp. A custom or institution). [latin aboleo destroy]
Spokesman | n. (fem. Spokeswoman) person speaking for a group etc. [from *spoke2]
Spokesperson | n. (pl. -s or -people) spokesman or spokeswoman.
Sporting | adj. <br>1 interested or concerned in sport. <br>2 generous, fair.  a sporting chance some possibility of success.  sportingly adv.
Spotlight | <br>—n. <br>1 beam of light directed on a small area. <br>2 lamp projecting this. <br>3 full publicity. <br>—v. (past and past part. -lighted or -lit) <br>1 direct a spotlight on. <br>2 draw attention to.
Spouse | n. Husband or wife. [latin sponsus sponsa betrothed]
Spy | <br>—n. (pl. Spies) <br>1 person who secretly collects and reports information for a government, company, etc. <br>2 person watching others secretly. <br>—v. (spies, spied) <br>1 discern, see. <br>2 (often foll. By on) act as a spy. <br>3 (often foll. By into) pry.  spy out explore or discover, esp. Secretly. [french espie, espier]
Squad | n. <br>1 small group sharing a task etc., esp. Of soldiers or policemen (drug squad). <br>2 sport team. [french escouade]
Squeeze | <br>—v. (-zing) <br>1 (often foll. By out) a exert pressure on, esp. To extract moisture etc. B extract (moisture) by squeezing. <br>2 reduce in size or alter in shape by squeezing. <br>3 force or push into or through a small or narrow space. <br>4 a harass or pressure (a person). B (usu. Foll. By out of) obtain by extortion, entreaty, etc. <br>5 press (a person's hand) in sympathy etc. <br>—n. <br>1 squeezing or being squeezed. <br>2 close embrace. <br>3 crowd, crowded state. <br>4 small quantity produced by squeezing (squeeze of lemon). <br>5 restriction on borrowing, investment, etc., in a financial crisis.  put the squeeze on colloq. Coerce or pressure. [origin unknown]
Stab | <br>—v. (-bb-) <br>1 pierce or wound with a knife etc. <br>2 (often foll. By at) aim a blow with such a weapon. <br>3 cause a sensation like being stabbed (stabbing pain). <br>4 hurt or distress (a person, feelings, etc.). <br>—n. <br>1 act of stabbing. <br>2 wound from this. <br>3 colloq. Attempt. [origin unknown]
Stability | n. Being stable. [latin: related to *stable]
Stabilize | v. (also -ise) (-zing or -sing) make or become stable.  stabilization n.
Stance | n. <br>1 standpoint; attitude. <br>2 attitude or position of the body, esp. When hitting a ball etc. [italian stanza standing]
Standing | <br>—n. <br>1 esteem or repute, esp. High; status. <br>2 duration (of long standing). <br>—adj. <br>1 that stands, upright. <br>2 established, permanent (a standing rule; a standing army). <br>3 (of a jump, start, etc.) Performed with no run-up. <br>4 (of water) stagnant.
Stark | <br>—adj. <br>1 sharply evident (in stark contrast). <br>2 desolate, bare. <br>3 absolute (stark madness). <br>—adv. Completely, wholly (stark naked).  starkly adv. Starkness n. [old english]
Starve | v. (-ving) <br>1 (cause to) die of hunger or suffer from malnourishment. <br>2 colloq. Feel very hungry (i'm starving). <br>3 a suffer from mental or spiritual want. B (foll. By for) feel a strong craving for. <br>4 (foll. By of) deprive of. <br>5 compel by starving (starved into surrender).  starvation n. [old english, = die]
Statistical | adj. Of statistics.  statistically adv.
Steam | <br>—n. <br>1 a gas into which water is changed by boiling. B condensed vapour formed from this. <br>2 a power obtained from steam. B colloq. Power or energy. <br>—v. <br>1 a cook (food) in steam. B treat with steam. <br>2 give off steam. <br>3 a move under steam power. B (foll. By ahead, away, etc.) Colloq. Proceed or travel fast or with vigour. <br>4 (usu. Foll. By up) a cover or become covered with condensed steam. B (as steamed up adj.) Colloq. Angry or excited. [old english]
Stereotype | <br>—n. <br>1 a person or thing seeming to conform to a widely accepted type. B such a type, idea, or attitude. <br>2 printing-plate cast from a mould of composed type. <br>—v. (-ping) <br>1 (esp. As stereotyped adj.) Cause to conform to a type; standardize. <br>2 a print from a stereotype. B make a stereotype of. [french: related to *stereo-]
Stimulate | v. (-ting) <br>1 act as a stimulus to. <br>2 animate, excite, arouse.  stimulation n. Stimulative adj. Stimulator n. [latin: related to *stimulus]
Stimulus | n. (pl. -li) thing that rouses to activity. [latin, = goad]
Storage | n. <br>1 a storing of goods etc. B method of or space for storing. <br>2 cost of storing. <br>3 storing of data in a computer etc.
Straightforward | adj. <br>1 honest or frank. <br>2 (of a task etc.) Simple.
Usage | it is incorrect to use strata as the singular noun instead of stratum.
Strategic | adj. <br>1 of or promoting strategy. <br>2 (of materials) essential in war. <br>3 (of bombing or weapons) done or for use as a longer-term military objective.  strategically adv.
Strengthen | v. Make or become stronger.
Striking | adj. Impressive; attracting attention.  strikingly adv.
Strive | v. (-ving; past strove; past part. Striven) <br>1 try hard (strive to succeed). <br>2 (often foll. By with, against) struggle. [french estriver]
Stroke | <br>—n. <br>1 act of striking; blow, hit. <br>2 sudden disabling attack caused esp. By thrombosis; apoplexy. <br>3 a action or movement, esp. As one of a series. B slightest action (stroke of work). <br>4 single complete motion of a wing, oar, etc. <br>5 (in rowing) the mode or action of moving the oar (row a fast stroke). <br>6 whole motion of a piston in either direction. <br>7 specified mode of swimming. <br>8 specially successful or skilful effort (a stroke of diplomacy).
Structural | adj. Of a structure.  structurally adv.
Stumble | <br>—v. (-ling) <br>1 involuntarily lurch forward or almost fall. <br>2 (often foll. By along) walk with repeated stumbles. <br>3 speak haltingly. <br>4 (foll. By on, upon, across) find by chance. <br>—n. Act of stumbling. [related to *stammer]
Stun | v. (-nn-) <br>1 knock senseless; stupefy. <br>2 bewilder, shock. [french: related to *astonish]
Stunning | adj. Colloq. Extremely attractive or impressive.  stunningly adv.
Submission | n. <br>1 a submitting or being submitted. B thing submitted. <br>2 submissiveness. [latin submissio: related to *submit]
Subscriber | n. <br>1 person who subscribes. <br>2 person hiring a telephone line.
Subscription | <br>—n. <br>1 a act of subscribing. B money subscribed. <br>2 membership fee, esp. Paid regularly. <br>—attrib. Adj. Paid for mainly by advance sales of tickets (subscription concert).
Subsequent | adj. (usu. Foll. By to) following, esp. As a consequence.  subsequently adv. [latin sequor follow]
Subsidy | n. (pl. -ies) <br>1 money granted esp. By the state to keep down the price of commodities etc. <br>2 any monetary grant. [latin subsidium help]
Substantial | adj. <br>1 a of real importance or value. B large in size or amount. <br>2 solid; sturdy. <br>3 commercially successful; wealthy. <br>4 essential; largely true. <br>5 real; existing.  substantially adv. [latin: related to *substance]
Substitute | <br>—n. <br>1 (also attrib.) Person or thing acting or used in place of another. <br>2 artificial alternative to a food etc. <br>—v. (-ting) (often foll. By for) (cause to) act as a substitute.  substitution n. [latin substituo -tut-]
Subtle | adj. (subtler, subtlest) <br>1 elusive, mysterious; hard to grasp. <br>2 (of scent, colour, etc.) Faint, delicate. <br>3 a perceptive (subtle intellect). B ingenious (subtle device).  subtlety n. (pl. -ies). Subtly adv. [latin subtilis]
Suburb | n. Outlying district of a city. [latin urbs city]
Suburban | adj. <br>1 of or characteristic of suburbs. <br>2 derog. Provincial in outlook.  suburbanite n.
Succession | n. <br>1 a process of following in order; succeeding. B series of things or people one after another. <br>2 a right of succeeding to the throne, an office, inheritance, etc. B act or process of so succeeding. C those having such a right.  in succession one after another. In succession to as the successor of.
Successive | adj. Following one after another; consecutive.  successively adv.
Successor | n. (often foll. By to) person or thing that succeeds another.
Suck | <br>—v. <br>1 draw (a fluid) into the mouth by suction. <br>2 (also absol.) Draw fluid from (a thing) in this way. <br>3 roll the tongue round (a sweet etc.). <br>4 make a sucking action or sound. <br>5 (usu. Foll. By down, in) engulf or drown in a sucking movement. <br>—n. Act or period of sucking.  suck dry exhaust the contents of by sucking. Suck in <br>1 absorb. <br>2 involve (a person) esp. Against his or her will. Suck up <br>1 (often foll. By to) colloq. Behave obsequiously. <br>2 absorb. [old english]
Sue | v. (sues, sued, suing) <br>1 (also absol.) Begin a law suit against. <br>2 (often foll. By to, for) make application to a lawcourt for redress. <br>3 (often foll. By to, for) make entreaty to a person for a favour. [anglo-french suer from latin sequor follow]
Sufficient | adj. Sufficing, adequate.  sufficiently adv.
Suicide | n. <br>1 a intentional killing of oneself. B person who commits suicide. <br>2 self-destructive action or course (political suicide). [latin sui of oneself, *-cide]
Suite | n. <br>1 set, esp. Of rooms in a hotel etc. Or a sofa and armchairs. <br>2 mus. Set of instrumental pieces performed as a unit. [french: related to *suit]
Summit | n. <br>1 highest point, top. <br>2 highest degree of power, ambition, etc. <br>3 (in full summit meeting, talks, etc.) Conference of heads of government. [latin summus highest]
Super | <br>—adj. (also as int.) Colloq. Excellent; splendid. <br>—n. Colloq. <br>1 superintendent. <br>2 supernumerary. [shortening of words beginning super-]
Superb | adj. <br>1 colloq. Excellent. <br>2 magnificent.  superbly adv. [latin, = proud]
Superior | <br>—adj. <br>1 in a higher position; of higher rank. <br>2 a high-quality (superior leather). B supercilious (had a superior air). <br>3 (often foll. By to) better or greater in some respect. <br>4 written or printed above the line. <br>—n. <br>1 person superior to another esp. In rank. <br>2 head of a monastery etc. (mother superior).  superiority n. [latin comparative of superus above]
Supervise | v. (-sing) superintend, oversee.  supervision n. Supervisor n. Supervisory adj. [latin supervideo -vis-]
Supplement | <br>—n. <br>1 thing or part added to improve or provide further information. <br>2 separate section, esp. A colour magazine, of a newspaper etc. <br>—v. Provide a supplement for.  supplemental adj. Supplementary adj. Supplementation n. [latin suppleo supply]
Supportive | adj. Providing (esp. Emotional) support or encouragement.  supportively adv. Supportiveness n.
Supposedly | adv. Allegedly; as is generally believed.
Suppress | v. <br>1 put an end to, esp. Forcibly. <br>2 prevent (information, feelings, a reaction, etc.) From being seen, heard, or known. <br>3 a partly or wholly eliminate (electrical interference etc.). B equip (a device) to reduce the interference caused by it.  suppressible adj. Suppression n. Suppressor n. [latin: related to *press1]
Supreme | adj. <br>1 highest in authority or rank. <br>2 greatest; most important. <br>3 (of a penalty or sacrifice etc.) Involving death.  supremely adv. [latin]
Surge | <br>—n. <br>1 sudden rush. <br>2 heavy forward or upward motion. <br>3 sudden increase in price, activity, etc. <br>4 sudden increase in voltage of an electric current. <br>5 swell of the sea. <br>—v. (-ging) <br>1 move suddenly and powerfully forwards. <br>2 (of an electric current etc.) Increase suddenly. <br>3 (of the sea etc.) Swell. [latin surgo rise]
Surgeon | n. <br>1 medical practitioner qualified in surgery. <br>2 naval or military medical officer.
Surgical | adj. <br>1 of or by surgeons or surgery. <br>2 a used in surgery. B worn to correct a deformity etc. <br>3 (esp. Of military action) swift and precise. surgically adv.
Surplus | <br>—n. <br>1 amount left over. <br>2 excess of revenue over expenditure. <br>—adj. Exceeding what is needed or used. [anglo-french]
Surrender | <br>—v. <br>1 hand over; relinquish. <br>2 submit, esp. To an enemy. <br>3 refl. (foll. By to) yield to a habit, emotion, influence, etc. <br>4 give up rights under (a life-insurance policy) in return for a smaller sum received immediately. <br>5 abandon (hope etc.). <br>—n. Act of surrendering.  surrender to bail duly appear in court after release on bail. [anglo-french: related to *sur-1]
Surveillance | n. Close observation undertaken by the police etc. [french: related to *sur-1, veiller watch]
Survival | n. <br>1 surviving. <br>2 relic.
Suspend | v. <br>1 hang up. <br>2 keep inoperative or undecided for a time. <br>3 debar temporarily from a function, office, etc. <br>4 (as suspended adj.) (of particles or a body in a fluid) floating between the top and bottom. [latin suspendo -pens-]
Suspension | n. <br>1 suspending or being suspended. <br>2 springs etc. Supporting a vehicle on its axles. <br>3 substance consisting of particles suspended in a medium.
Suspicion | n. <br>1 unconfirmed belief; distrust. <br>2 suspecting or being suspected. <br>3 (foll. By of) slight trace of.  above suspicion too obviously good etc. To be suspected. Under suspicion suspected. [latin: related to *suspect]
Suspicious | adj. <br>1 prone to or feeling suspicion. <br>2 causing suspicion.  suspiciously adv.
Sustain | v. <br>1 support, bear the weight of, esp. For a long period. <br>2 encourage, support. <br>3 (of food) nourish. <br>4 endure, stand. <br>5 suffer (defeat or injury etc.). <br>6 (of a court etc.) Uphold or decide in favour of (an objection etc.). <br>7 corroborate (a statement or charge). <br>8 maintain (effort etc.).  sustainable adj. [latin sustineo keep up]
Swing | <br>—v. (past and past part. Swung) <br>1 a (cause to) move with a to-and-fro or curving motion, as of an object attached at one end and hanging free at the other; sway. B hang so as to be free to swing. <br>2 oscillate or revolve. <br>3 move by gripping something and leaping etc. (swung from tree to tree). <br>4 walk with a swing. <br>5 (foll. By round) move to face the opposite direction. <br>6 change one's opinion or mood. <br>7 (foll. By at) attempt to hit. <br>8 (also swing it) play (music) with a swing rhythm. <br>9 colloq. (of a party etc.) Be lively etc. <br>10 have a decisive influence on (voting etc.). <br>11 colloq. Achieve, manage. <br>12 colloq. Be executed by hanging. <br>—n. <br>1 act, motion, or extent of swinging. <br>2 swinging or smooth gait, rhythm, or action. <br>3 a seat slung by ropes etc. For swinging on or in. B period of swinging on this. <br>4 a jazz or dance music with an easy flowing rhythm. B rhythmic feeling or drive of this. <br>5 discernible change, esp. In votes or points scored etc.  swings and roundabouts situation affording equal gain and loss.  swinger n. [old english]
Swing | <br>—v. (past and past part. Swung) <br>1 a (cause to) move with a to-and-fro or curving motion, as of an object attached at one end and hanging free at the other; sway. B hang so as to be free to swing. <br>2 oscillate or revolve. <br>3 move by gripping something and leaping etc. (swung from tree to tree). <br>4 walk with a swing. <br>5 (foll. By round) move to face the opposite direction. <br>6 change one's opinion or mood. <br>7 (foll. By at) attempt to hit. <br>8 (also swing it) play (music) with a swing rhythm. <br>9 colloq. (of a party etc.) Be lively etc. <br>10 have a decisive influence on (voting etc.). <br>11 colloq. Achieve, manage. <br>12 colloq. Be executed by hanging. <br>—n. <br>1 act, motion, or extent of swinging. <br>2 swinging or smooth gait, rhythm, or action. <br>3 a seat slung by ropes etc. For swinging on or in. B period of swinging on this. <br>4 a jazz or dance music with an easy flowing rhythm. B rhythmic feeling or drive of this. <br>5 discernible change, esp. In votes or points scored etc.  swings and roundabouts situation affording equal gain and loss.  swinger n. [old english]
Sword | n. <br>1 weapon with a long blade and hilt with a handguard. <br>2 (prec. By the) a war. B military power.  put to the sword kill. [old english]
Sympathetic | adj. <br>1 of or expressing sympathy. <br>2 pleasant, likeable. <br>3 (foll. By to) favouring (a proposal etc.).  sympathetically adv.
Usage | synchronize should not be used in standard english to mean ‘coordinate’ or ‘combine’.
Syndrome | n. <br>1 group of concurrent symptoms of a disease. <br>2 characteristic combination of opinions, emotions, behaviour, etc. [greek sundrome running together]
Synthesis | n. (pl. -theses) <br>1 a combining of elements into a whole. B result of this. <br>2 chem. Artificial production of compounds from their constituents as distinct from extraction from plants etc. [greek, = placing together]
Systematic | adj. <br>1 methodical; according to a system. <br>2 regular, deliberate.  systematically adv.
Tackle | <br>—n. <br>1 equipment for a task or sport. <br>2 mechanism, esp. Of ropes, pulley-blocks, hooks, etc., for lifting weights, managing sails, etc. <br>3 windlass with its ropes and hooks. <br>4 act of tackling in football etc. <br>—v. (-ling) <br>1 try to deal with (a problem or difficulty). <br>2 grapple with (an opponent). <br>3 confront (a person) in discussion or argument. <br>4 intercept or stop (a player running with the ball).  tackler n. [low german]
Tactic | n. <br>1 tactical manoeuvre. <br>2 = *tactics. [greek from tasso arrange]
Tactical | adj. <br>1 of tactics (tactical retreat). <br>2 (of bombing etc.) Done in direct support of military or naval operations. <br>3 adroitly planning or adroitly planned.  tactically adv.
Taxpayer | n. Person who pays taxes.
Teens | n.pl. Years of one's age from <br>13 to <br>19 (in his teens).
Usage | since <br>1981 telegram has not been in uk official use, except for international messages. See also telemessage.
Usage | telemessage has been in uk official use since <br>1981 for inland messages, replacing telegram.
Tempt | v. <br>1 entice or incite (a person) to do what is wrong or forbidden (tempted him to steal it). <br>2 allure, attract. <br>3 risk provoking (fate etc.).  be tempted to be strongly disposed to.  tempter n. Temptress n. [latin tempto, tento try, test]
Tenant | n. <br>1 person who rents land or property from a landlord. <br>2 (often foll. By of) occupant of a place. [french: related to *tenable]
Tendency | n. (pl. -ies) (often foll. By to, towards) leaning or inclination. [medieval latin: related to *tend1]
Tension | <br>—n. <br>1 stretching or being stretched; tenseness. <br>2 mental strain or excitement. <br>3 strained (political, social, etc.) State or relationship. <br>4 stress produced by forces pulling apart. <br>5 degree of tightness of stitches in knitting and machine sewing. <br>6 voltage (high tension; low tension). <br>—v. Subject to tension.  tensional adj
Tenure | n. <br>1 condition, or form of right or title, under which (esp. Real) property is held. <br>2 (often foll. By of) a holding or possession of an office or property. B period of this. <br>3 guaranteed permanent employment, esp. As a teacher or lecturer.  tenured adj. [latin teneo]
Terminal | <br>—adj. <br>1 a (of a condition or disease) fatal. B (of a patient) dying. <br>2 of or forming a limit or terminus (terminal station). <br>—n. <br>1 terminating thing; extremity. <br>2 terminus for trains or long-distance buses. <br>3 = *air terminal.
Terminate | v. (-ting) <br>1 bring or come to an end. <br>2 (foll. By in) (of a word) end in (a specified letter etc.).
Terrain | n. Tract of land, esp. In geographical or military contexts. [latin: related to *terrene]
Terribly | adv. <br>1 colloq. Very, extremely (terribly nice). <br>2 in a terrible manner.
Terrific | adj. <br>1 colloq. A huge; intense (terrific noise). B excellent (did a terrific job). <br>2 causing terror.  terrifically adv. [latin: related to *terrible]
Terrify | v. (-ies, -ied) fill with terror (terrified of dogs).  terrifying adj. Terrifyingly adv.
Territory | n. (pl. -ies) <br>1 extent of the land under the jurisdiction of a ruler, state, etc. <br>2 (territory) organized division of a country, esp. One not yet admitted to the full rights of a state. <br>3 sphere of action etc.; province. <br>4 commercial traveller's sales area. <br>5 animal's or human's defended space or area. <br>6 area defended by a team or player in a game. [latin terra land]
Terror | n. <br>1 extreme fear. <br>2 a terrifying person or thing. B colloq. Formidable or troublesome person or thing, esp. A child. <br>3 organized intimidation; terrorism. [latin terreo frighten]
Terrorist | n. (often attrib.) Person using esp. Organized violence against a government etc.  terrorism n. [french: related to *terror]
Testify | v. (-ies, -ied) <br>1 (often foll. By to) (of a person or thing) bear witness; be evidence of (testified to the facts). <br>2 give evidence. <br>3 affirm or declare. [latin testificor from testis witness]
Testimony | n. (pl. -ies) <br>1 witness's statement under oath etc. <br>2 declaration or statement of fact. <br>3 evidence, demonstration (produce testimony). [latin testimonium from testis witness]
Textbook | <br>—n. Book for use in studying, esp. A standard account of a subject. <br>—attrib. Adj. <br>1 exemplary, accurate. <br>2 instructively typical.
Texture | <br>—n. <br>1 feel or appearance of a surface or substance. <br>2 arrangement of threads etc. In textile fabric. <br>—v. (-ring) (usu. As textured adj.) <br>1 provide with a texture. <br>2 (of vegetable protein) provide with a texture resembling meat.  textural adj. [latin: related to *text]
Usage | with reference to the last example, it is also legitimate to say you are older than him, with than treated as a preposition, esp. In less formal contexts.
Thankfully | adv. <br>1 in a thankful manner. <br>2 let us be thankful (that) (thankfully, it didn't rain).
Usage | the use of thankfully in sense <br>2 is common, but is considered incorrect by some people.
Usage | in sense <br>4 of the pronoun, that usually specifies or identifies something referred to, whereas who or which need not: compare the book that you sent me is lost with the book, which i gave you, is lost. That is often omitted in senses <br>1 and <br>3 of the conjunction: they say he is ill.
Theatrical | <br>—adj. <br>1 of or for the theatre or acting. <br>2 (of a manner or person etc.) Calculated for effect; showy. <br>—n. (in pl.) Dramatic performances (amateur theatricals).  theatricality n. Theatrically adv.
Theft | n. Act of stealing. [old english: related to *thief]
Theology | n. (pl. -ies) the study or a system of theistic (esp. Christian) religion.  theological adj. Theologically adv. [greek: related to *theo-]
Theoretical | adj. <br>1 concerned with knowledge but not with its practical application. <br>2 based on theory rather than experience.  theoretically adv.
Thereafter | adv. Formal after that.
Thereby | adv. By that means, as a result of that.  thereby hangs a tale much could be said about that.
Thesis | n. (pl. Theses) <br>1 proposition to be maintained or proved. <br>2 dissertation, esp. By a candidate for a higher degree. [greek, = putting]
Thorough | adj. <br>1 complete and unqualified; not superficial. <br>2 acting or done with great care and completeness. <br>3 absolute (thorough nuisance).  thoroughly adv. Thoroughness n. [related to *through]
Usage | thou has now been replaced by you except in some formal, liturgical, dialect, and poetic uses.
Thoughtful | adj. <br>1 engaged in or given to meditation. <br>2 (of a book, writer, etc.) Giving signs of serious thought. <br>3 (often foll. By of) (of a person or conduct) considerate.  thoughtfully adv. Thoughtfulness n.
Thread | <br>—n. <br>1 a spun-out cotton, silk, or glass etc.; yarn. B length of this. <br>2 thin cord of twisted yarns used esp. In sewing and weaving. <br>3 continuous aspect of a thing (the thread of life; thread of his argument). <br>4 spiral ridge of a screw. <br>—v. <br>1 pass a thread through (a needle). <br>2 put (beads) on a thread. <br>3 insert (a strip of material, e.g. Film or magnetic tape) into equipment. <br>4 make (one's way) carefully through a crowded place, over a difficult route, etc. [old english: related to *throw]
Threshold | n. <br>1 strip of wood or stone forming the bottom of a doorway and crossed in entering a house etc. <br>2 point of entry or beginning. <br>3 limit below which a stimulus causes no reaction. [old english: related to *thrash in the sense ‘tread’]
Thrive | v. (-ving; past throve or thrived; past part. Thriven or thrived) <br>1 prosper, flourish. <br>2 grow rich. <br>3 (of a child, animal, or plant) grow vigorously. [old norse]
Thumb | <br>—n. <br>1 short thick finger on the human hand, set apart from the other four. <br>2 part of a glove etc. For a thumb. <br>—v. <br>1 wear or soil (pages etc.) With a thumb. <br>2 turn over pages with or as with a thumb (thumbed through the directory). <br>3 request or get (a lift) by signalling with a raised thumb. <br>4 use the thumb in a gesture.  thumb one's nose = cock a snook (see *snook). Thumbs down indication of rejection. Thumbs up indication of satisfaction or approval. Under a person's thumb completely dominated by a person. [old english]
Usage | thy has now been replaced by your except in some formal, liturgical, dialect, and poetic uses.
Tide | n. <br>1 a periodic rise and fall of the sea due to the attraction of the moon and sun. B water as affected by this. <br>2 time or season (usu. In comb.: whitsuntide). <br>3 marked trend of opinion, fortune, or events.  tide (-ding) over provide (a person) with what is needed during a difficult period. [old english, = *time]
Tighten | v. Make or become tighter.
Usage | in all senses, till can be replaced by until which is more formal in style.
Timber | n. <br>1 wood prepared for building, carpentry, etc. <br>2 piece of wood or beam, esp. As the rib of a vessel. <br>3 large standing trees. <br>4 (esp. As int.) Warning cry that a tree is about to fall. [old english, = building]
Timely | adj. (-ier, -iest) opportune; coming at the right time.  timeliness n.
Timing | n. <br>1 way an action or process is timed. <br>2 regulation of the opening and closing of valves in an internal-combustion engine.
Tissue | n. <br>1 any of the coherent collections of specialized cells of which animals or plants are made (muscular tissue). <br>2 = *tissue-paper. <br>3 disposable piece of thin soft absorbent paper for wiping, drying, etc. <br>4 fine woven esp. Gauzy fabric. <br>5 (foll. By of) connected series (tissue of lies). [french tissu woven cloth]
Tobacco | n. (pl. -s) <br>1 plant of american origin with narcotic leaves used for smoking, chewing, or snuff. <br>2 its leaves, esp. As prepared for smoking. [spanish tabaco, of american indian origin]
Tolerance | n. <br>1 willingness or ability to tolerate; forbearance. <br>2 allowable variation in any measurable property.
Tolerate | v. (-ting) <br>1 allow the existence or occurrence of without authoritative interference. <br>2 endure (suffering etc.). <br>3 find or treat as endurable. <br>4 be able to take or undergo (drugs, treatment, etc.) Without adverse effects. [latin tolero]
Ton | n. <br>1 (in full long ton) unit of weight equal to 2,<br>240 lb (1016.<br>05 kg). <br>2 (in full short ton) unit of weight equal to 2,<br>000 lb (907.<br>19 kg). <br>3 = *metric ton. <br>4 (in full displacement ton) unit of measurement of a ship's weight or volume. <br>5 (usu. In pl.) Colloq. Large number or amount (tons of people). <br>6 slang a speed of <br>100 m.p.h. B £100.  weigh a ton colloq. Be very heavy. [originally the same word as *tun]
Tonne | n. = *metric ton. [french: related to *ton]
Usage | tortuous should not be confused with torturous which means ‘involving torture, excruciating’.
Torture | <br>—n. <br>1 infliction of severe bodily pain, esp. As a punishment or means of persuasion. <br>2 severe physical or mental suffering. <br>—v. (-ring) subject to torture.  torturer n. Torturous adj. [latin tortura twisting: related to *tort]
Toss | <br>—v. <br>1 throw up (a ball etc.), esp. With the hand. <br>2 roll about, throw, or be thrown, restlessly or from side to side. <br>3 (usu. Foll. By to, away, aside, out, etc.) Throw (a thing) lightly or carelessly. <br>4 a throw (a coin) into the air to decide a choice etc. By the side on which it lands. B (also absol.; often foll. By for) settle a question or dispute with (a person) in this way. <br>5 (of a bull etc.) Throw (a person etc.) Up with the horns. <br>6 coat (food) with dressing etc. By shaking it. <br>—n. <br>1 act of tossing (a coin, the head, etc.). <br>2 fall, esp. From a horse.  toss one's head throw it back esp. In anger, impatience, etc. Toss off <br>1 drink off at a draught. <br>2 dispatch (work) rapidly or without effort. <br>3 coarse slang masturbate. Toss up toss a coin. [origin unknown]
Total | <br>—adj. <br>1 complete, comprising the whole (total number of votes). <br>2 absolute, unqualified (in total ignorance). <br>—n. Total number or amount. <br>—v. (-ll-; us -l-) <br>1 a amount in number to. B find the total of. <br>2 (foll. By to, up to) amount to. [medieval latin totus entire]
Tournament | n. <br>1 large contest of many rounds (chess tournament). <br>2 display of military exercises etc. (royal tournament). <br>3 hist. Pageant with jousting. [french: related to *tourney]
Toxic | adj. <br>1 poisonous. <br>2 of poison.  toxicity n. [greek toxikon poison for arrows]
Trading | n. Act of engaging in trade.
Tragedy | n. (pl. -ies) <br>1 serious accident, disaster, etc.; sad event. <br>2 a play dealing with tragic events and ending unhappily, esp. With the downfall of the protagonist. B such plays as a genre. [greek tragoidia]
Tragic | adj. <br>1 disastrous; greatly distressing; very sad. <br>2 of tragedy.  tragically adv.
Trail | <br>—n. <br>1 track or scent left by a moving thing, person, etc. <br>2 beaten path, esp. Through a wild region. <br>3 long line of people or things following behind something. <br>4 part dragging behind a thing or person. <br>—v. <br>1 draw or be drawn along behind, esp. On the ground. <br>2 (often foll. By behind) walk wearily. <br>3 follow the trail of; pursue. <br>4 be losing in a contest (trailing by three points). <br>5 (usu. Foll. By away, off) peter out; tail off. <br>6 a (of a plant etc.) Grow or hang over a wall, along the ground, etc. B hang loosely. <br>7 (often refl.) Drag (oneself, one's limbs, etc.) Along wearily etc. [french or low german]
Trailer | n. <br>1 set of brief extracts from a film etc., used to advertise it in advance. <br>2 vehicle towed by another, esp.: a the rear section of an articulated lorry. B an open cart. C a platform for transporting a boat etc. D us a caravan.
Trait | n. Characteristic. [latin tractus: related to *tract1]
Transaction | n. <br>1 a piece of esp. Commercial business done. B transacting of business etc. <br>2 (in pl.) Published reports of discussions, papers read, etc., at the meetings of a learned society.
Transcript | n. Written copy.
Transit | n. <br>1 going, conveying, or being conveyed, esp. Over a distance. <br>2 passage or route. <br>3 apparent passage of a celestial body across the meridian of a place, or across the sun or a planet.  in transit while going or being conveyed. [latin: related to *trance]
Transmission | n. <br>1 transmitting or being transmitted. <br>2 broadcast programme. <br>3 mechanism transmitting power from the engine to the axle in a vehicle.
Transmit | v. (-tt-) <br>1 a pass or hand on; transfer (transmitted the message; how diseases are transmitted). B communicate (ideas, emotions, etc.). <br>2 a allow (heat, light, sound, electricity, etc.) To pass through. B be a medium for (ideas, emotions, etc.) (his message transmits hope). <br>3 broadcast (a radio or television programme).  transmissible adj. Transmittable adj. [latin mitto miss- send]
Transparency | n. (pl. -ies) <br>1 being transparent. <br>2 picture, esp. A photograph, to be viewed by light passing through it. [medieval latin: related to *transparent]
Transparent | adj. <br>1 allowing light to pass through so that bodies can be distinctly seen. <br>2 a (of a disguise, pretext, etc.) Easily seen through. B (of a quality etc.) Evident; obvious. <br>3 easily understood; frank.  transparently adv. [latin pareo appear]
Usage | the use of transpire in sense <br>2 is considered incorrect by some people.
Transportation | n. <br>1 conveying or being conveyed. <br>2 a system of conveying. B esp. Us means of this. <br>3 hist. Deportation of convicts.
Trauma | n. (pl. Traumata or -s) <br>1 profound emotional shock. <br>2 physical injury. <br>3 physical shock syndrome following this.  traumatize v. (also -ise) (-zing or -sing). [greek, = wound]
Usage | the crime of petty treason was abolished in 1828. This is why high treason, originally distinguished from petty treason, now means the same as treason.
Treasure | <br>—n. <br>1 a precious metals or gems. B hoard of these. C accumulated wealth. <br>2 thing valued for its rarity, workmanship, associations, etc. (art treasures). <br>3 colloq. Much loved or highly valued person. <br>—v. (-ring) <br>1 value highly. <br>2 (often foll. By up) store up as valuable. [greek thesauros]
Treaty | n. (pl. -ies) <br>1 formal agreement between states. <br>2 agreement between parties, esp. For the purchase of property. [latin: related to *treat]
